image,prompt
Caspian_Tern_0111_145995,there is a bird with a beak in the air with a fish in it's mouth
Hooded_Warbler_0051_164892,there is a yellow bird sitting on a branch in the woods
Cliff_Swallow_0018_132974,there is a bird that is sitting on a wire
Downy_Woodpecker_0014_183975,there is a bird that is sitting on a post
Pileated_Woodpecker_0039_180012,araffe with red mohawk on head climbing up a tree
Ovenbird_0048_92876,there is a bird that is sitting on a branch with a worm in its mouth
Bank_Swallow_0064_129816,there is a bird that is sitting on a wire
Tree_Swallow_0041_136439,there is a bird that is sitting on a wooden ledge
Song_Sparrow_0042_121314,there is a bird sitting on a branch with white flowers
Carolina_Wren_0024_186377,there is a small bird that is sitting on a wooden post
Prothonotary_Warbler_0100_174539,yellow bird with wings spread out on a branch in a tree
Pileated_Woodpecker_0034_180419,there is a bird that is eating from a bird feeder
Northern_Waterthrush_0081_176972,there is a small bird standing on a rock in the dirt
Northern_Waterthrush_0090_177283,there is a small bird standing in the grass on the ground
Song_Sparrow_0087_121062,there is a small bird sitting on a stick in the grass
Winter_Wren_0110_189569,there is a small brown bird perched on a branch
American_Pipit_0124_99848,there is a small bird standing on a pile of seaweed
Hooded_Warbler_0007_164633,yellow bird with black and white feathers sitting on a branch
Ovenbird_0095_92796,there is a bird that is standing on the sidewalk eating
Field_Sparrow_0042_113815,there is a small bird sitting on a branch of a tree
Savannah_Sparrow_0080_118120,there is a bird that is sitting on a branch of a plant
Carolina_Wren_0066_186818,there is a bird that is sitting on a branch in the tree
Blue_Jay_0009_62873,there is a blue bird sitting on a branch of a tree
Horned_Lark_0013_74374,arafed bird with yellow and black feathers sitting on a stick
Yellow_Warbler_0040_176954,there is a small yellow bird perched on a persons hand
Gray_Catbird_0024_20739,there is a small bird standing on the ground in the dirt
Prairie_Warbler_0123_172603,yellow bird perched on a branch with a green background
Cliff_Swallow_0028_132365,there is a small bird sitting on a branch with a green background
Field_Sparrow_0112_114159,there is a bird that is eating a worm in the grass
Yellow_Warbler_0071_176655,there is a small yellow bird standing on a rock
Ovenbird_0050_92672,there is a small bird that is standing on the ground
Prothonotary_Warbler_0089_174636,yellow and blue bird perched on a branch in a tree
Song_Sparrow_0001_122169,there is a small bird sitting on a wooden bench
Cedar_Waxwing_0100_178643,araffy bird perched on a branch of a tree with berries
Tennessee_Warbler_0081_174771,there is a small bird sitting on a branch of a tree
Bohemian_Waxwing_0057_177784,araffe bird perched on a branch with a blue sky in the background
Ovenbird_0059_92470,there is a bird that is standing on the ground in the leaves
Pelagic_Cormorant_0037_23889,araffe sitting on a rock by the water with a blue sky in the background
Winter_Wren_0117_189999,there is a small bird sitting on a fence post
Least_Flycatcher_0058_30143,there is a small bird sitting on a branch of a tree
Horned_Lark_0108_74193,there is a small bird standing on a gravel ground
Pileated_Woodpecker_0028_180258,there is a bird that is sitting on a tree branch
Tennessee_Warbler_0042_175092,there is a small yellow bird perched on a branch of a tree
Savannah_Sparrow_0067_118491,there is a bird sitting on a branch with yellow flowers in the background
Savannah_Sparrow_0117_119917,there is a bird sitting on a branch of a tree
Winter_Wren_0093_189686,there is a small bird with a small bird in its mouth
Prairie_Warbler_0053_173290,yellow bird perched on a branch of a tree with green leaves
Field_Sparrow_0118_113416,there is a small bird sitting on a branch of a tree
Caspian_Tern_0014_145640,there is a white bird with a red beak flying over the water
American_Pipit_0074_100154,there is a bird standing on the rocks in the water
Cedar_Waxwing_0042_179391,araffe bird perched on a branch of a tree in a forest
Pileated_Woodpecker_0112_180439,there is a bird that is standing on a pole with a bird feeder
Ovenbird_0034_93006,there is a bird sitting on a branch with a blue sky in the background
American_Pipit_0031_99607,there is a bird that is standing on some rocks in the water
Tennessee_Warbler_0021_174761,there is a small bird perched on a branch of a tree
Cliff_Swallow_0049_132965,there is a bird that is flying in the sky with its wings spread
Tennessee_Warbler_0088_175163,there is a small bird sitting on a branch of a tree
American_Crow_0002_25122,there is a black bird sitting on a branch of a tree
Hooded_Warbler_0035_165040,there is a yellow bird sitting on a branch of a tree
Tennessee_Warbler_0089_174764,there is a bird sitting on a branch of a tree
Tree_Swallow_0067_136244,there are two birds sitting on a wooden platform next to each other
Pelagic_Cormorant_0022_23802,araffe flying in the sky with its wings spread
Horned_Lark_0095_74640,there is a small bird standing on the ground in the sun
Pileated_Woodpecker_0082_180523,there is a bird that is standing on a tree trunk
Bronzed_Cowbird_0046_796218,there is a black bird sitting on a rock in the woods
Ovenbird_0122_92993,there is a bird that is sitting on a persons hand
Savannah_Sparrow_0107_119671,there is a bird that is standing in the grass
Caspian_Tern_0120_145650,arafed bird flying in the sky with its wings spread
Black_Tern_0025_144503,there is a bird that is sitting on a post
Downy_Woodpecker_0090_183964,there is a bird that is sitting on a tree branch
Yellow_Warbler_0096_176586,there is a yellow bird sitting on a branch of a tree
Caspian_Tern_0102_145928,there is a bird that is flying in the air with a red object in its beak
Northern_Waterthrush_0093_177141,there is a bird that is standing in the water
Bronzed_Cowbird_0008_796250,there is a black bird standing in the grass looking at the camera
Caspian_Tern_0009_145057,araffe flying in the sky with its wings spread
Black_Tern_0014_143939,there is a bird that is flying in the air
Hooded_Warbler_0062_165199,there is a yellow bird sitting on a branch in the forest
Yellow_Warbler_0020_176364,yellow bird perched on a branch of a tree in the sun
American_Pipit_0001_100225,there is a small bird standing on the ground in the grass
Bohemian_Waxwing_0092_796666,there are two birds sitting on the branches of a tree
Bohemian_Waxwing_0040_177914,araffy bird perched on a branch in a tree
Yellow_Warbler_0121_176402,there is a yellow bird perched on a branch with a worm in its mouth
American_Pipit_0078_99898,there is a bird that is sitting on a barbed wire
Northern_Waterthrush_0070_177096,there is a small bird that is standing on a wooden rail
Savannah_Sparrow_0075_116305,there is a bird that is sitting on a post in the grass
Gray_Catbird_0107_20513,there is a bird that is sitting on a branch with berries
Bohemian_Waxwing_0117_177858,araffe bird perched on a branch with a blue sky in the background
Caspian_Tern_0048_145672,there is a bird that is flying in the sky with its wings spread
Bank_Swallow_0015_129853,there is a small bird sitting on a rock on a cloudy day
Caspian_Tern_0074_145964,araffe bird flying in the sky with a red beak
Bank_Swallow_0014_129668,there is a small bird sitting on a wire with a blurry background
Winter_Wren_0109_189850,painting of a bird sitting on a branch of a tree with berries
Tree_Swallow_0092_136236,there is a small bird sitting on a branch of a tree
Pileated_Woodpecker_0041_180461,there is a bird that is sitting on a tree branch
Black_Tern_0070_144292,there is a bird that is flying in the sky with its wings spread
Cedar_Waxwing_0103_179559,there is a bird sitting on a branch with leaves in the foreground
Cedar_Waxwing_0008_178345,araffe bird perched on a branch of a tree in a forest
Song_Sparrow_0099_121193,there is a bird that is sitting on a branch of a tree
Tennessee_Warbler_0038_174760,there is a small bird sitting on a branch of a tree
Tree_Swallow_0098_134916,there is a small bird sitting on a wooden post
Tree_Swallow_0109_135272,there is a small bird sitting on a branch of a tree
Pileated_Woodpecker_0075_180480,there is a bird that is sitting on a tree branch
Hooded_Warbler_0039_164928,there is a small yellow bird perched on a branch of a tree
Caspian_Tern_0026_145125,there is a bird that is flying in the sky with a beak
Caspian_Tern_0066_147680,there is a bird that is flying in the sky with its wings spread
American_Pipit_0027_100189,there is a bird standing in the water on the grass
Cliff_Swallow_0092_132971,there is a bird that is sitting on a wire
Downy_Woodpecker_0003_183933,there is a small bird sitting on a branch in the woods
Prairie_Warbler_0118_173261,there is a yellow and black bird sitting on a branch
Prothonotary_Warbler_0004_173475,yellow bird perched on a branch with a green background
American_Crow_0036_25313,there is a black bird standing on the grass next to a rock
Carolina_Wren_0033_186848,there is a small bird sitting on a wooden bench
Cliff_Swallow_0011_133033,there is a bird sitting on top of a white object
Bronzed_Cowbird_0039_24026,there is a black bird with blue feathers sitting on a branch
Ovenbird_0043_93374,there is a bird that is standing on the ground
Tennessee_Warbler_0046_174798,there is a bird that is sitting on a branch of a tree
American_Crow_0113_25149,there is a black bird standing in the grass looking up
Least_Flycatcher_0019_30358,there is a small bird sitting on a persons hand
Field_Sparrow_0069_113827,there is a bird that is sitting on a branch in the tree
Bronzed_Cowbird_0085_24152,there is a black bird sitting on a branch of a tree
Bank_Swallow_0049_129611,there is a bird that is sitting on a wire
Carolina_Wren_0014_186525,there is a small bird that is eating something on the ledge
Yellow_Warbler_0004_176947,there is a yellow bird sitting on a branch in a tree
Bronzed_Cowbird_0023_24058,there is a black bird sitting on a branch of a tree
Cliff_Swallow_0055_133624,there is a bird that is flying in the sky with its wings spread
Hooded_Warbler_0134_164708,yellow and black bird perched on a branch with a green background
Song_Sparrow_0034_121255,there is a bird that is sitting on a tree stump
Downy_Woodpecker_0098_184567,there is a bird that is sitting on a bird feeder
American_Pipit_0088_100213,there is a small bird standing in the grass on the ground
Carolina_Wren_0095_186561,there is a small bird sitting on top of a fence
Tennessee_Warbler_0070_174962,there is a small bird perched on a branch of a tree
Horned_Lark_0069_74093,there is a small bird sitting on top of a wooden post
Song_Sparrow_0013_121056,araffe bird perched on a tree branch with a blurred background
Cliff_Swallow_0103_133882,there is a small bird sitting on a red rail
Hooded_Warbler_0121_164639,yellow bird perched on a branch of a tree in a forest
Northern_Waterthrush_0060_177213,there is a small bird standing in the water near the grass
Savannah_Sparrow_0005_119735,there is a bird that is standing in the mud
Pileated_Woodpecker_0051_179965,araffe with a red head and white chest sitting on a tree branch
Least_Flycatcher_0021_30355,there is a small bird sitting on a branch in a tree
Pelagic_Cormorant_0014_23801,there is a bird that is sitting on a rock by the water
Pelagic_Cormorant_0099_23784,there is a duck swimming in the water with bubbles coming out of it
Bohemian_Waxwing_0039_177702,araffe bird perched on a branch with berries on it
Ovenbird_0102_93172,there is a bird that is standing in the grass
Field_Sparrow_0091_113486,there is a small bird sitting on a branch of a tree
Blue_Jay_0006_63504,araffe sitting on a branch in the snow with a blue bird
Hooded_Warbler_0084_164944,there is a yellow bird perched on a tree branch
Least_Flycatcher_0079_30256,there is a small bird sitting on a branch of a tree
Gray_Catbird_0101_21178,there is a bird that is standing on a bird feeder
Common_Tern_0029_148035,arafed bird flying in the sky with a long beak
Tennessee_Warbler_0052_175089,there is a small bird sitting on a branch of a tree
Tennessee_Warbler_0095_174903,there is a small bird perched on a branch in the tree
Blue_Jay_0038_62784,araffe standing on the ground with a blue and white bird
Prothonotary_Warbler_0063_173830,there is a yellow bird sitting on a branch in the forest
Blue_Jay_0002_62657,there is a small bird perched on a branch of a tree
Pelagic_Cormorant_0019_23546,there is a black duck floating in the water with its wings spread
Carolina_Wren_0065_186517,there is a small bird perched on a tree branch
Common_Tern_0120_148670,there is a bird that is flying in the sky with a red beak
Hooded_Warbler_0017_164911,there is a small yellow bird perched on a branch in the woods
Yellow_Warbler_0114_176201,yellow bird perched on a branch with a green background
American_Pipit_0045_99687,there is a small bird standing on the ground next to a road
